,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
2294,data/cut/R000183B9_C00034AD1_18.png,375.5,396.5,375,387,专卖店,61200,R000183B9,C00034AD1,九果数码,"[('C00034AD1_29', 'R000183B9_98'), ('C00034AD1_204', 'R000183B9_98'), ('C00034AD1_204', 'R000183B9_153'), ('C00034AD1_29', 'R000183B9_153')]",120.5,141.5,R000183B9,C00034AD1,C00034AD1_120.5,R000183B9_141.5,120,132,R000183B9,C00034AD1,C00034AD1_120,R000183B9_132
2295,data/cut/R000183B9_C00034AD1_26.png,387,341.5,388,335,通行设施,990000,R000183B9,C00034AD1,东北1门,,132,86.5,R000183B9,C00034AD1,C00034AD1_132,R000183B9_86.5,133,80,R000183B9,C00034AD1,C00034AD1_133,R000183B9_80
2296,data/cut/R000183B9_C00034AD1_32.png,493.5,475.5,,,,,R000183B9,C00034AD1,甲3号楼,"[('C00034AD0_234', 'R000183B9_201'), ('C00034AD2_34', 'R000183B9_201'), ('C00034AD2_34', 'R000183B9_253'), ('C00034AD0_234', 'R000183B9_253')]",238.5,220.5,R000183B9,C00034AD1,C00034AD1_238.5,R000183B9_220.5,,,,,,
2297,data/cut/R000183B9_C00034AD1_36.png,268.5,465.5,,,,,R000183B9,C00034AD1,3号楼,"[('C00034AD0_234', 'R000183B9_201'), ('C00034AD2_34', 'R000183B9_201'), ('C00034AD2_34', 'R000183B9_253'), ('C00034AD0_234', 'R000183B9_253')]",13.5,210.5,R000183B9,C00034AD1,C00034AD1_13.5,R000183B9_210.5,,,,,,
2298,data/cut/R000183B9_C00034AD1_40.png,295.5,369.5,,,,,R000183B9,C00034AD1,2号楼,"[('C00034AD1_29', 'R000183B9_98'), ('C00034AD1_204', 'R000183B9_98'), ('C00034AD1_204', 'R000183B9_153'), ('C00034AD1_29', 'R000183B9_153')]",40.5,114.5,R000183B9,C00034AD1,C00034AD1_40.5,R000183B9_114.5,,,,,,
2299,data/cut/R000183B9_C00034AD1_53.png,425.5,286.5,426,287,停车场,150900,R000183B9,C00034AD1,P,,170.5,31.5,R000183B9,C00034AD1,C00034AD1_170.5,R000183B9_31.5,171,32,R000183B9,C00034AD1,C00034AD1_171,R000183B9_32
2300,data/cut/R000183B7_C00034ACE_2.png,401.5,471.5,,,,,R000183B7,C00034ACE,小6号线中段,,146.5,216.5,R000183B7,C00034ACE,C00034ACE_146.5,R000183B7_216.5,,,,,,
2301,data/cut/R000183B7_C00034ACE_13.png,320,475,,,,,R000183B7,C00034ACE,(在建),,65,220,R000183B7,C00034ACE,C00034ACE_65,R000183B7_220,,,,,,
2302,,,,360,347,公共厕所,200300,R000183B7,C00034ACE,,,,,,,,,105,92,R000183B7,C00034ACE,C00034ACE_105,R000183B7_92
2303,data/cut/R000183B9_C00034AE5_7.png,393.5,425,393,407,学校内部设施,141207,R000183B9,C00034AE5,中国科学院物理研究所D楼,"[('C00034AE5_19', 'R000183B9_66'), ('C00034AE5_161', 'R000183B9_66'), ('C00034AE5_161', 'R000183B9_212'), ('C00034AE5_19', 'R000183B9_212')]",138.5,170,R000183B9,C00034AE5,C00034AE5_138.5,R000183B9_170,138,152,R000183B9,C00034AE5,C00034AE5_138,R000183B9_152
